,農林水産業,鉱業,製造業,卸売・小売業,サービス業
宮城県,"134,507","4,674","1,145,746","1,357,955","1,594,371"
秋田県,"118,628","11,032","467,854","409,119","711,121"
山形県,"129,347","5,210","825,632","433,956","664,864"
福島県,"138,025","6,863","2,083,450","711,274","1,323,318"
茨城県,"252,700","7,409","3,390,165","1,104,847","1,816,728"
栃木県,"153,730","18,746","2,889,437","776,885","1,388,932"
群馬県,"110,112","4,131","2,379,332","848,550","1,270,561"
埼玉県,"118,110","7,046","4,715,849","2,343,270","3,423,722"
千葉県,"238,731","17,244","3,869,746","1,963,813","3,565,037"
東京都,"48,259","25,967","7,654,068","21,859,143","18,856,239"
神奈川県,"58,029","3,912","6,468,125","3,392,506","5,942,229"
新潟県,"195,035","61,045","1,824,870","1,024,705","1,551,137"
富山県,"54,564","9,773","1,448,715","519,146","721,335"
石川県,"49,696","5,448","934,822","594,883","867,289"
福井県,"36,540","3,052","679,836","302,910","526,689"
山梨県,"59,038","3,939","760,507","312,203","574,829"
長野県,"158,097","9,552","2,314,118","748,180","1,476,704"
岐阜県,"80,029","25,131","1,934,796","812,656","1,367,027"
静岡県,"181,364","8,772","6,148,219","1,409,537","2,473,513"
愛知県,"191,997","8,600","11,695,291","5,108,693","5,605,420"
三重県,"103,142","8,894","2,718,811","626,379","1,139,649"
滋賀県,"44,735","3,294","2,332,764","468,333","794,731"
京都府,"45,515","4,697","2,231,782","1,253,240","1,774,956"
大阪府,"37,015","2,484","6,089,745","7,491,499","7,817,737"
兵庫県,"107,974","31,741","4,686,959","2,058,723","3,492,593"
奈良県,"24,110",502,"693,306","366,895","743,618"
和歌山県,"77,906","11,845","1,108,579","332,985","588,984"
鳥取県,"46,008","2,392","347,094","225,040","367,296"
島根県,"50,590","4,829","314,179","237,732","429,796"
岡山県,"71,498","9,991","2,235,219","856,518","1,190,781"
広島県,"84,683","4,922","2,917,849","1,589,686","1,952,956"
山口県,"54,882","10,898","1,882,620","547,745","922,805"
徳島県,"71,912","1,980","676,609","263,684","479,447"
香川県,"56,759","6,237","654,766","526,725","693,363"
愛媛県,"111,403","9,605","990,771","586,727","871,065"
高知県,"96,437","7,632","227,379","277,995","492,582"
福岡県,"144,311","23,686","2,691,499","2,983,023","3,782,290"
佐賀県,"87,214","3,064","557,753","265,989","490,131"
長崎県,"121,676","6,088","507,061","494,054","935,866"
熊本県,"185,584","6,125","946,640","608,867","1,148,303"
